mass_code,resolution_code,periapsis_code,velocity_code,timestep,fof_linking_length,fragment_count_min_particles,largest_fragment_particle_count,largest_fragment_mass_kg,fragment_mass_fraction
A2000,n65,r24,v00,90000,0.005,1.0,3227695.0,9.996273753246936e+19,1.0
A2000,n65,r24,v00,90000,0.006,1.0,3227695.0,9.996273753246936e+19,1.0
A2000,n65,r24,v00,90000,0.008,1.0,3227695.0,9.996273753246936e+19,1.0
A2000,n65,r26,v00,90000,0.004,82.5,2268604.0,7.16679097670354e+19,1.0
A2000,n65,r28,v00,90000,0.004,1.5,2848443.0,8.991405679160574e+19,1.0
A2000,n65,r30,v00,90000,0.004,66.5,3086618.0,9.740886423058212e+19,1.0
A2000c30,n65,r12,v00,90000,0.004,220.0,945886.0,2.958843857131575e+19,1.0
A2000c30,n65,r12,v02,90000,0.004,201.0,919132.0,2.875154366543253e+19,1.0
A2000c30,n65,r12,v04,90000,0.004,212.0,1075346.0,3.36381018737525e+19,1.0
A2000c30,n65,r12,v06,90000,0.004,294.0,1199461.0,3.752055178895193e+19,1.0
A2000c30,n65,r12,v08,90000,0.004,313.0,1316817.0,4.119158949796794e+19,1.0
A2000c30,n65,r12,v10,90000,0.004,206.0,1396577.0,4.36865728408905e+19,1.0
A2000c30,n65,r14,v00,90000,0.004,299.0,1971134.0,6.1659409606737895e+19,1.0
A2000c30,n65,r16,v00,90000,0.004,214.0,2379832.0,7.44439796126748e+19,1.0
A2000c30,n65,r16,v02,90000,0.004,217.0,885248.0,2.7691614439198126e+19,1.0
A2000c30,n65,r16,v04,90000,0.004,281.0,1078146.0,3.3725690212766343e+19,1.0
A2000c30,n65,r16,v06,90000,0.004,290.0,1162817.0,3.6374294029090546e+19,1.0
A2000c30,n65,r16,v08,90000,0.004,271.0,1312020.0,4.104153419718271e+19,1.0
A2000c30,n65,r16,v10,90000,0.004,169.0,1405415.0,4.3963035792584065e+19,1.0
A2000c30,n65,r18,v00,90000,0.004,121.0,2948418.0,9.223004328099172e+19,1.0
A2000c30,n65,r20,v00,90000,0.004,174.0,3124345.0,9.773325456868344e+19,1.0
A2000c30,n65,r22,v00,90000,0.004,1.0,3195625.0,9.99629741693465e+19,1.0
A2050,n70,r12,v00,90000,0.003,930.0,541511.0,1.6960022310319106e+19,1.0
A2050,n70,r12,v00,90000,0.004,912.0,541555.0,1.6961400384099193e+19,1.0
A2050,n70,r12,v00,90000,0.005,882.0,541559.0,1.6961525662713063e+19,1.0
A2050,n70,r16,v00,90000,0.003,577.0,2890146.0,9.051883627634942e+19,1.0
A2050,n70,r16,v00,90000,0.004,534.0,2960888.0,9.273446336781302e+19,1.0
A2050,n70,r16,v00,90000,0.005,501.0,2960896.0,9.273471392630016e+19,1.0
A2100,n70,r12,v00,90000,0.0044,2976.0,790844.0,7.83784622821719e+19,1.0
A2100,n70,r12,v00,90000,0.0059,2929.0,790874.0,7.838143550319544e+19,1.0
A2100,n70,r12,v00,90000,0.0074,2893.0,790878.0,7.838183193266109e+19,1.0
A2100,n70,r16,v00,90000,0.0044,2116.0,3921382.0,3.886377842523638e+20,1.0
A2100,n70,r16,v00,90000,0.0059,2101.0,3922068.0,3.887057718752624e+20,1.0
A2100,n70,r16,v00,90000,0.0074,2085.0,3922894.0,3.8878763457606785e+20,1.0
