mass_log10_kg,periapsis_Rm,v_inf_kms,spin_axis,has_explicit_spin,nearby_run_count,local_grouped_mae,local_grouped_rmse,mean_predicted_bmf,mean_actual_bmf,benchmark_disagreement_mean,sparse_region_flag,local_grouped_mae_percentage_points,benchmark_disagreement_percentage_points,sparse_threshold
20.0,1.6,0.6,y,True,5,0.017792282947271303,0.02499284583128757,0.0302841115373269,0.043651327109585115,0.018907520315476968,False,1.7792282947271303,1.8907520315476969,2.0
20.0,1.6,0.6,z,True,5,0.012620658230107615,0.014941072293908121,0.09449888374005362,0.10646780396511615,0.01137716495211605,False,1.2620658230107615,1.137716495211605,2.0
20.0,1.6,0.8,none,False,1,0.0,0.0,0.0,0.0,0.00046466379061346996,True,0.0,0.046466379061347,2.0
20.0,1.6,0.8,z,True,2,0.0032288553122428836,0.004221061914484041,0.057901940368462995,0.06062073735582865,0.00891721949133385,True,0.32288553122428837,0.8917219491333849,2.0
20.0,1.6,1.0,none,False,2,0.0013709257119715618,0.0018974291118517828,0.0013709257119715618,0.0,0.006593983518598083,True,0.13709257119715618,0.6593983518598083,2.0
20.0,1.6,1.0,z,True,2,0.01687167832768338,0.0177814583268649,0.025200167553756682,0.008328489226073299,0.0030387782346995426,True,1.6871678327683381,0.30387782346995423,2.0
20.0,1.7,0.0,none,False,1,0.0031818847095027203,0.005138818202081794,0.08155065837501768,0.08152500009207105,0.04430228929554939,True,0.31818847095027203,4.430228929554939,2.0
20.0,1.7,0.0,z,True,2,0.020823838595468408,0.021223951587461452,0.22271949866878837,0.2435433372642568,0.03419952482360661,True,2.082383859546841,3.419952482360661,2.0
20.0,1.8,0.0,none,False,2,0.026399661690775744,0.027932790209157437,0.024730947787731317,0.00220086027294355,0.00930961409269297,True,2.6399661690775744,0.930961409269297,2.0
20.0,1.8,0.0,z,True,2,0.010323542665022417,0.010323764939338486,0.219051159610001,0.22937470227502338,0.05593501627184033,True,1.0323542665022418,5.593501627184033,2.0
20.0,1.8,0.2,none,False,1,0.0016215598937263651,0.0016215598937263651,0.0016215598937263651,0.0,0.0016215598937263651,True,0.1621559893726365,0.1621559893726365,2.0
