dataset,feature_set,target,model,importance_type,rank,feature,importance
clean_subset,with_fof_linking_length,largest_fragment_particle_count,ridge,permutation_importance,9,v_inf_kms,-2120.1502486295185
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,1,num__periapsis_Rm,0.421020376776567
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,2,num__spin_period_hr,0.2683406810374667
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,3,cat__spin_axis_y,0.1708210737256186
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,4,cat__spin_axis_x,0.1057745099440296
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,5,cat__spin_axis_z,0.022139605812788662
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,6,cat__spin_axis_mz,0.007766265156990509
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,7,num__v_inf_kms,0.0038618618466661836
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,8,cat__spin_axis_none,0.00019094498835462906
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,9,num__has_explicit_spin,8.468071151815011e-05
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,10,num__timestep,0.0
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,11,num__particle_log10,0.0
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,model_feature_importance,12,num__mass_log10_kg,0.0
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,1,spin_axis,311.30957413105835
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,2,periapsis_Rm,186.03269204381422
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,3,spin_period_hr,101.85467190454808
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,4,v_inf_kms,21.70746904465368
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,5,timestep,0.0
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,6,particle_log10,0.0
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,7,mass_log10_kg,0.0
clean_subset,without_fof_linking_length,fragment_count_min_particles,gradient_boosting,permutation_importance,8,has_explicit_spin,-0.5972193303516562
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,1,num__spin_period_hr,0.31295645448602666
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,2,num__periapsis_Rm,0.24668957701323127
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,3,cat__spin_axis_y,0.23618780377366586
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,4,cat__spin_axis_x,0.10312282123691906
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,5,num__v_inf_kms,0.04872358762884096
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,6,cat__spin_axis_z,0.04381017958442934
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,7,cat__spin_axis_mz,0.007592080675927669
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,8,cat__spin_axis_none,0.0004918058896066359
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,9,num__has_explicit_spin,0.00042568971135260256
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,10,num__timestep,0.0
clean_subset,without_fof_linking_length,fragment_count_min_particles,random_forest,model_feature_importance,11,num__particle_log10,0.0
