relative_path,filename,suffix,size_bytes,contains_fof_in_name
Ma_xp_A2000_s030z_n65_r26_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r26_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r28_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r28_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s030z_n65_r30_v00_90000.hdf5,Ma_xp_A2000_s030z_n65_r30_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s036mz_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s036mz_n65_r12_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A2000_s036x_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s036x_n65_r12_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s036x_n65_r16_v00_90000.hdf5,Ma_xp_A2000_s036x_n65_r16_v00_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s036x_n65_r16_v06_90000.hdf5,Ma_xp_A2000_s036x_n65_r16_v06_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s036x_n65_r20_v00_90000.hdf5,Ma_xp_A2000_s036x_n65_r20_v00_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s036y_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s036y_n65_r12_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s036y_n65_r16_v00_90000.hdf5,Ma_xp_A2000_s036y_n65_r16_v00_90000.hdf5,.hdf5,307564504,False
Ma_xp_A2000_s036y_n65_r16_v06_90000.hdf5,Ma_xp_A2000_s036y_n65_r16_v06_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s036y_n65_r20_v00_90000.hdf5,Ma_xp_A2000_s036y_n65_r20_v00_90000.hdf5,.hdf5,307564512,False
Ma_xp_A2000_s036z_n65_r12_v00_90000.hdf5,Ma_xp_A2000_s036z_n65_r12_v00_90000.hdf5,.hdf5,307564512,False
