fof_file,physical_file,matched_physical_file_found,readable,particle_count_match,nonfof_velocity_max_abs,nonfof_velocity_nonzero_count,status,error_message
Ma_xp_A1900_s035z_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035z_n65_r16_v00_90000.hdf5,True,True,True,1090.8354306593537,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s035z_n65_r20_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s035z_n65_r20_v00_90000.hdf5,True,True,True,1045.8766482770443,3162276,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047mz_n65_r12_v00_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s047x_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047x_n65_r12_v00_90000.hdf5,True,True,True,1084.0290924534202,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047y_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047y_n65_r12_v00_90000.hdf5,True,True,True,1097.9725047945976,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r11_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r11_v00_90000.hdf5,True,True,True,1135.1794237270951,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r12_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v00_90000.hdf5,True,True,True,1118.3257447555661,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r12_v02_89000_fof_0.002_0000.hdf5,,False,False,False,,,missing_physical_file,Matching non-FoF physical snapshot was not found
Ma_xp_A1900_s047z_n65_r12_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v04_90000.hdf5,True,True,True,1157.1873910725117,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
Ma_xp_A1900_s047z_n65_r12_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_s047z_n65_r12_v06_90000.hdf5,True,True,True,78856.40114545822,3162280,success_mass_source=header_initial_mass_table;gm_source=metadata_point_mass,
